Var1,Var2,Var3
0,0.022918584,0.24018309
0.007936508,0.028989593,0.452162777
0.015873016,0.005362261,0.378663053
0.023809524,0.014900625,0.385554266
0.031746032,0.030443195,0.496826855
0.03968254,0.027092925,0.004456183
0.047619048,0.00704025,0.681647416
0.055555556,5.61E-04,0.198054436
0.063492064,0.001632191,0.502119931
0.071428571,0.006385985,0.185539588
0.079365079,0.01282527,0.380170224
0.087301587,0.032012792,0.478316148
0.095238095,0.022406986,0.701149056
0.103174603,0.013090723,0.015975069
0.111111111,0.031984914,0.141509934
0.119047619,0,0.398405287
0.126984127,0.021654364,0.308699848
0.134920635,0.005222627,0.527340061
0.142857143,0.005301087,0.343766883
0.150793651,0.029097717,0.349006103
0.158730159,0.004628177,0.067329447
0.166666667,0.007257132,0.527692566
0.174603175,0.010295023,0.204214271
0.182539683,0.023882575,0.23104673
0.190476191,0.023202963,0.536083933
0.198412698,0.031509784,0.344586569
0.206349206,0.011941005,0.350225212
0.214285714,0.030928351,0.217225091
0.222222222,0.002721234,0
0.23015873,0.002855946,0.433817377
0.238095238,0.02114248,0.171398556
0.246031746,0.032997042,0.482404641
0.253968254,0.019538003,0.48925839
0.261904762,0.034117347,0.472503524
0.26984127,0.022242848,0.509387946
0.277777778,0.039934793,0.460454614
0.285714286,0.034262277,0.474305665
0.293650794,0.026310583,0.354182406
0.301587302,0.018732321,0.310753609
0.30952381,0.030758754,0.342735297
0.317460318,0.02901719,0.527763989
0.325396825,0.040429094,0.388206937
0.333333333,0.050391968,0.304935791
0.341269841,0.062479998,0.284174858
0.349206349,0.044152327,0.445829405
0.357142857,0.052934311,0.293985077
0.365079365,0.055334288,0.207635946
0.373015873,0.062428689,0.270861244
0.380952381,0.079466231,0.38575689
0.388888889,0.10007458,0.616728717
0.396825397,0.101214083,0.175997689
0.404761905,0.099145645,0.355490087
0.412698413,0.14376697,0.536520232
0.420634921,0.155072944,0.13785662
0.428571429,0.150259866,0.222847873
0.436507937,0.181026925,0.44284065
0.444444444,0.193126444,0.540266439
0.452380952,0.234688055,0.476516296
0.46031746,0.259314687,0.313481627
0.468253968,0.287721063,0.030347321
0.476190476,0.294865131,0.156470861
0.484126984,0.333293142,0.391537361
0.492063492,0.352940952,0.353714298
0.5,0.72342867,0.573932146
0.507936508,0.745216726,0.455085269
0.515873016,0.759740159,0.434680633
0.523809524,0.790451918,0.794996252
0.531746032,0.80197676,0.46198551
0.53968254,0.824217634,0.569283151
0.547619048,0.840313466,0.522761868
0.555555556,0.868501767,0.463415496
0.563492064,0.885813701,0.764208429
0.571428571,0.90053705,0.851744767
0.579365079,0.901848859,0.605371221
0.587301587,0.925287042,0.510810111
0.595238095,0.924943523,0.546859664
0.603174603,0.930189193,0.58282402
0.611111111,0.939840249,0.677232833
0.619047619,0.944196199,0.762098085
0.626984127,0.95378958,0.754951275
0.634920635,0.955882125,0.727820234
0.642857143,0.971550259,0.629711372
0.650793651,0.959489953,0.646382441
0.658730159,0.974789752,0.425275576
0.666666667,0.977078967,0.659813138
0.674603175,0.979049689,0.612446355
0.682539683,0.989890566,0.47676287
0.690476191,0.980041737,0.614826904
0.698412698,0.975661098,0.730752814
0.706349206,0.981058811,0.815015647
0.714285714,0.983526521,0.78754232
0.722222222,0.992641639,0.522788321
0.73015873,0.987165044,0.792969606
0.738095238,0.992715468,0.7602813
0.746031746,0.987969148,0.541206565
0.753968254,0.988332542,0.677532462
0.761904762,0.996674917,0.424727405
0.76984127,0.992411129,0.512986962
0.777777778,0.982749704,0.594175121
0.785714286,0.989588797,0.680604788
0.793650794,0.993134956,0.872280751
0.801587302,0.984895152,0.54879478
0.80952381,0.998309189,0.435831678
0.817460318,0.982164084,0.749855102
0.825396825,0.992417558,0.768004506
0.833333333,0.998086041,0.748641107
0.841269841,0.998735657,0.586962996
0.849206349,0.990422132,0.524830475
0.857142857,0.998648958,0.607205634
0.865079365,0.982206122,0.460937609
0.873015873,0.985679507,1
0.880952381,0.989651853,0.658311413
0.888888889,1,0.828681101
0.896825397,0.982874795,0.85173411
0.904761905,0.996892077,0.746372985
0.912698413,0.99469984,0.631027756
0.920634921,0.992362176,0.69501201
0.928571429,0.995025189,0.653025801
0.936507937,0.988577658,0.579826818
0.944444444,0.983546885,0.612852872
0.952380952,0.986232844,0.470371351
0.96031746,0.991834614,0.801256266
0.968253968,0.990186167,0.485827221
0.976190476,0.983233859,0.540188071
0.984126984,0.989736842,0.532140591
0.992063492,0.998851527,0.313729005
1,0.995192039,0.410648252
